قَدۡ                  ['q', 'a', 'd', 'QQ']
أَيۡمَـٰنَهُمۡ             ['ʔ', 'a', 'j', 'm', 'a:', 'n', 'a', 'h', 'u', 'm']
جُنَّةً                 ['ʒ', 'u', 'ñ', 'a', 't', 'a', 'ŋ']
فَصَدُّواۡ               ['f', 'a', 'sˤ', 'a', 'dd', 'u:']
عَن                  ['ʕ', 'a', 'ŋ']
سَبِيلِ                ['s', 'a', 'b', 'i:', 'l', 'i']
ٱللَّهِ                ['ll', 'a', 'h', 'i']
فَلَهُمۡ                ['f', 'a', 'l', 'a', 'h', 'u', 'm']
عَذَابٌ                ['ʕ', 'a', 'ð', 'a:', 'b', 'u']
مُّهِينٌ                ['m̃', 'u', 'h', 'i:', 'n']

58:17
لَّن                  ['l', 'a', 'ŋ']
تُغۡنِىَ                ['t', 'u', 'ɣ', 'n', 'i', 'j', 'a']
عَنۡهُمۡ                ['ʕ', 'a', 'n', 'h', 'u', 'm']
أَمۡوٰلُهُمۡ              ['ʔ', 'a', 'm', 'w', 'a:', 'l', 'u', 'h', 'u', 'm']
وَلَآ                 ['w', 'a', 'l', 'a:']
أَوۡلَـٰدُهُم             ['ʔ', 'a', 'w', 'l', 'a:', 'd', 'u', 'h', 'u', 'm̃']
مِّنَ                  ['i', 'n', 'a']
ٱللَّهِ                ['ll', 'a', 'h', 'i']
شَيۡــًٔا‌ۚ              ['ʃ', 'a', 'j', 'ʔ', 'a', 'n']
أُوۡلَـٰٓئِكَ              ['ʔ', 'u', 'l', 'a:', 'ʔ', 'i', 'k', 'a']
أَصۡحَـٰبُ               ['ʔ', 'a', 'sˤ', 'ħ', 'a:', 'b', 'u']
ٱلنَّارِ‌ۖ              ['ñ', 'a:', 'r', 'i']
هُمۡ                  ['h', 'u', 'm']
فِيهَا                ['f', 'i:', 'h', 'a:']
خَـٰلِدُونَ              ['x', 'a:', 'l', 'i', 'd', 'u:', 'n']

58:18
يَوۡمَ                 ['j', 'a', 'w', 'm', 'a']
يَبۡعَثُهُمُ              ['j', 'a', 'b', 'Q', 'ʕ', 'a', 'θ', 'u', 'h', 'u', 'm', 'u']
ٱللَّهُ                ['ll', 'a', 'h', 'u']
جَمِيعًا               ['ʒ', 'a', 'm', 'i:', 'ʕ', 'a', 'ŋ']
فَيَحۡلِفُونَ             ['f', 'a', 'j', 'a', 'ħ', 'l', 'i', 'f', 'u:', 'n', 'a']
لَهُۥ                 ['l', 'a', 'h', 'u:']
كَمَا                 ['k', 'a', 'm', 'a:']
يَحۡلِفُونَ              ['j', 'a', 'ħ', 'l', 'i', 'f', 'u:', 'n', 'a']
لَكُمۡ‌ۖ                ['l', 'a', 'k', 'u', 'm']
وَيَحۡسَبُونَ             ['w', 'a', 'j', 'a', 'ħ', 's', 'a', 'b', 'u:', 'n', 'a']
أَنَّهُمۡ                ['ʔ', 'a', 'ñ', 'a', 'h', 'u', 'm']
عَلَىٰ                 ['ʕ', 'a', 'l', 'a:']
شَىۡءٍ‌ۚ                ['ʃ', 'a', 'j', 'ʔ', 'i', 'n']
أَلَآ                 ['ʔ', 'a', 'l', 'a:']
إِنَّهُمۡ                ['ʔ', 'i', 'ñ', 'a', 'h', 'u', 'm']
هُمُ                  ['h', 'u', 'm', 'u']
ٱلۡكَـٰذِبُونَ            ['l', 'k', 'a:', 'ð', 'i', 'b', 'u:', 'n']

58:19
ٱسۡتَحۡوَذَ              ['ʔ', 'i', 's', 't', 'a', 'ħ', 'w', 'a', 'ð', 'a']
عَلَيۡهِمُ               ['ʕ', 'a', 'l', 'a', 'j', 'h', 'i', 'm', 'u']
ٱلشَّيۡطَـٰنُ             ['ʃʃ', 'a', 'j', 'tˤ', 'a:', 'n', 'u']
فَأَنسَـٰهُمۡ             ['f', 'a', 'ʔ', 'a', 'ŋ', 's', 'a:', 'h', 'u', 'm']
ذِكۡرَ                 ['ð', 'i', 'k', 'r', 'a']
ٱللَّهِ‌ۚ               ['ll', 'a', 'h', 'i']
أُوۡلَـٰٓئِكَ              ['ʔ', 'u', 'l', 'a:', 'ʔ', 'i', 'k', 'a']
حِزۡبُ                 ['ħ', 'i', 'z', 'b', 'u']
ٱلشَّيۡطَـٰنِ‌ۚ            ['ʃʃ', 'a', 'j', 'tˤ', 'a:', 'n', 'i']
أَلَآ                 ['ʔ', 'a', 'l', 'a:']
إِنَّ                  ['ʔ', 'i', 'ñ', 'a']
حِزۡبَ                 ['ħ', 'i', 'z', 'b', 'a']
ٱلشَّيۡطَـٰنِ             ['ʃʃ', 'a', 'j', 'tˤ', 'a:', 'n', 'i']
هُمُ                  ['h', 'u', 'm', 'u']
ٱلۡخَـٰسِرُونَ            ['l', 'x', 'a:', 's', 'i', 'r', 'u:', 'n']

58:20
إِنَّ                  ['ʔ', 'i', 'ñ', 'a']
ٱلَّذِينَ               ['ll', 'a', 'ð', 'i:', 'n', 'a']
يُحَآدُّونَ              ['j', 'u', 'ħ', 'a:', 'dd', 'u:', 'n', 'a']
ٱللَّهَ                ['ll', 'a', 'h', 'a']
وَرَسُولَهُۥٓ             ['w', 'a', 'r', 'a', 's', 'u:', 'l', 'a', 'h', 'u:']
أُوۡلَـٰٓئِكَ              ['ʔ', 'u', 'l', 'a:', 'ʔ', 'i', 'k', 'a']
فِى                  ['f', 'i']
ٱلۡأَذَلِّينَ             ['l', 'ʔ', 'a', 'ð', 'a', 'll', 'i:', 'n']

58:21
كَتَبَ                 ['k', 'a', 't', 'a', 'b', 'a']
ٱللَّهُ                ['ll', 'a', 'h', 'u']
لَأَغۡلِبَنَّ              ['l', 'a', 'ʔ', 'a', 'ɣ', 'l', 'i', 'b', 'a', 'ñ', 'a']
أَنَاۡ                 ['ʔ', 'a', 'n', 'a']
وَرُسُلِىٓ‌ۚ              ['w', 'a', 'r', 'u', 's', 'u', 'l', 'i:']
إِنَّ                  ['ʔ', 'i', 'ñ', 'a']
ٱللَّهَ                ['ll', 'a', 'h', 'a']
قَوِىٌّ                 ['q', 'a', 'w', 'i', 'jj', 'u', 'n']
عَزِيزٌ                ['ʕ', 'a', 'z', 'i:', 'z']

58:22
لَّا                  ['l', 'a:']
تَجِدُ                 ['t', 'a', 'ʒ', 'i', 'd', 'u']
قَوۡمًا                ['q', 'a', 'w', 'm', 'a']
يُؤۡمِنُونَ              ['j̃', 'u', 'ʔ', 'm', 'i', 'n', 'u:', 'n', 'a']
بِٱللَّهِ               ['b', 'i', 'll', 'a', 'h', 'i']
وَٱلۡيَوۡمِ              ['w', 'a', 'l', 'j', 'a', 'w', 'm', 'i']
ٱلۡأَخِرِ               ['l', 'ʔ', 'a', 'x', 'i', 'r', 'i']
يُوَآدُّونَ              ['j', 'u', 'w', 'a:', 'dd', 'u:', 'n', 'a']
مَنۡ                  ['m', 'a', 'n']
حَآدَّ                 ['ħ', 'a:', 'dd', 'a']
ٱللَّهَ                ['ll', 'a', 'h', 'a']
وَرَسُولَهُۥ             ['w', 'a', 'r', 'a', 's', 'u:', 'l', 'a', 'h', 'u:']
وَلَوۡ                 ['w', 'a', 'l', 'a', 'w']
كَانُوٓاۡ               ['k', 'a:', 'n', 'u:']
ءَابَآءَهُمۡ             ['ʔ', 'a:', 'b', 'a:', 'ʔ', 'a', 'h', 'u', 'm']
أَوۡ                  ['ʔ', 'a', 'w']
أَبۡنَآءَهُمۡ             ['ʔ', 'a', 'b', 'Q', 'n', 'a:', 'ʔ', 'a', 'h', 'u', 'm']
أَوۡ                  ['ʔ', 'a', 'w']
إِخۡوٰنَهُمۡ              ['ʔ', 'i', 'x', 'w', 'a:', 'n', 'a', 'h', 'u', 'm']
أَوۡ                  ['ʔ', 'a', 'w']
عَشِيرَتَهُمۡ‌ۚ            ['ʕ', 'a', 'ʃ', 'i:', 'r', 'a', 't', 'a', 'h', 'u', 'm']
أُوۡلَـٰٓئِكَ              ['ʔ', 'u', 'l', 'a:', 'ʔ', 'i', 'k', 'a']
كَتَبَ                 ['k', 'a', 't', 'a', 'b', 'a']
فِى                  ['f', 'i:']
قُلُوبِهِمُ              ['q', 'u', 'l', 'u:', 'b', 'i', 'h', 'i', 'm', 'u']
ٱلۡإِيمَـٰنَ             ['l', 'ʔ', 'i:', 'm', 'a:', 'n', 'a']
وَأَيَّدَهُم              ['w', 'a', 'ʔ', 'a', 'jj', 'a', 'd', 'a', 'h', 'u', 'ɱ']
بِرُوحٍ                ['b', 'i', 'r', 'u:', 'ħ', 'i']
مِّنۡهُ‌ۖ                ['m̃', 'i', 'n', 'h', 'u']
وَيُدۡخِلُهُمۡ             ['w', 'a', 'j', 'u', 'd', 'Q', 'x', 'i', 'l', 'u', 'h', 'u', 'm']
جَنَّـٰتٍ                ['ʒ', 'a', 'ñ', 'a:', 't', 'i', 'ŋ']
تَجۡرِى                ['t', 'a', 'ʒ', 'Q', 'r', 'i:']
مِن                  ['m', 'i', 'ŋ']
تَحۡتِهَا               ['t', 'a', 'ħ', 't', 'i', 'h', 'a']
ٱلۡأَنۡهَـٰرُ             ['l', 'ʔ', 'a', 'n', 'h', 'a:', 'r', 'u']
خَـٰلِدِينَ              ['x', 'a:', 'l', 'i', 'd', 'i:', 'n', 'a']
فِيهَا‌ۚ               ['f', 'i:', 'h', 'a:']
رَضِىَ                 ['r', 'a', 'dˤ', 'i', 'j', 'a']
ٱللَّهُ                ['ll', 'a', 'h', 'u']
عَنۡهُمۡ                ['ʕ', 'a', 'n', 'h', 'u', 'm']
وَرَضُواۡ               ['w', 'a', 'r', 'a', 'dˤ', 'u:']
عَنۡهُ‌ۚ                ['ʕ', 'a', 'n', 'h', 'u']
أُوۡلَـٰٓئِكَ              ['ʔ', 'u', 'l', 'a:', 'ʔ', 'i', 'k', 'a']
حِزۡبُ                 ['ħ', 'i', 'z', 'b', 'u']
ٱللَّهِ‌ۚ               ['ll', 'a', 'h', 'i']
أَلَآ                 ['ʔ', 'a', 'l', 'a:']
إِنَّ                  ['ʔ', 'i', 'ñ', 'a']
حِزۡبَ                 ['ħ', 'i', 'z', 'b', 'a']
ٱللَّهِ                ['ll', 'a', 'h', 'i']
هُمُ                  ['h', 'u', 'm', 'u']
ٱلۡمُفۡلِحُونَ            ['l', 'm', 'u', 'f', 'l', 'i', 'ħ', 'u:', 'n']
