أَتَىٰٓ                 ['ʔ', 'a', 't', 'a:']
جَهَنَّمَ                ['ʒ', 'a', 'h', 'a', 'ñ', 'a', 'm', 'a']
خَـٰلِدِينَ              ['x', 'a:', 'l', 'i', 'd', 'i:', 'n', 'a']
فِيهَا‌ۖ               ['f', 'i:', 'h', 'a:']
فَلَبِئۡسَ               ['f', 'a', 'l', 'a', 'b', 'i', 'ʔ', 's', 'a']
مَثۡوَى                ['m', 'a', 'θ', 'w', 'a']
ٱلۡمُتَكَبِّرِينَ           ['l', 'm', 'u', 't', 'a', 'k', 'a', 'b', 'b', 'i', 'r', 'i:', 'n']

16:30
۞وَقِيلَ               ['w', 'a', 'q', 'i:', 'l', 'a']
لِلَّذِينَ               ['l', 'i', 'l', 'l', 'a', 'ð', 'i:', 'n', 'a']
ٱتَّقَوۡاۡ               ['t', 't', 'a', 'q', 'a', 'w']
مَاذَآ                ['m', 'a:', 'ð', 'a:']
أَنزَلَ                ['ʔ', 'a', 'ŋ', 'z', 'a', 'l', 'a']
رَبُّكُمۡ‌ۚ               ['r', 'a', 'b', 'b', 'u', 'k', 'u', 'm']
قَالُواۡ               ['q', 'a:', 'l', 'u:']
خَيۡرًا‌ۗ               ['x', 'a', 'j', 'r', 'a:']
لِّلَّذِينَ               ['l', 'l', 'i', 'l', 'l', 'a', 'ð', 'i:', 'n', 'a']
أَحۡسَنُواۡ              ['ʔ', 'a', 'ħ', 's', 'a', 'n', 'u:']
فِى                  ['f', 'i:']
هَـٰذِهِ                ['h', 'a:', 'ð', 'i', 'h', 'i']
ٱلدُّنۡيَا              ['d', 'd', 'u', 'n', 'j', 'a:']
حَسَنَةٌ‌ۚ               ['ħ', 'a', 's', 'a', 'n', 'a', 't', 'u']
وَلَدَارُ               ['w̃', 'a', 'l', 'a', 'd', 'a:', 'r', 'u']
ٱلۡأَخِرَةِ              ['l', 'ʔ', 'a', 'x', 'i', 'r', 'a', 't', 'i']
خَيۡرٌ‌ۚ                ['x', 'a', 'j', 'r', 'u']
وَلَنِعۡمَ               ['w̃', 'a', 'l', 'a', 'n', 'i', 'ʕ', 'm', 'a']
دَارُ                 ['d', 'a:', 'r', 'u']
ٱلۡمُتَّقِينَ             ['l', 'm', 'u', 't', 't', 'a', 'q', 'i:', 'n']

16:31
جَنَّـٰتُ                ['ʒ', 'a', 'ñ', 'a:', 't', 'u']
عَدۡنٍ                 ['ʕ', 'a', 'd', 'Q', 'n', 'i']
يَدۡخُلُونَهَا            ['j̃', 'a', 'd', 'Q', 'x', 'u', 'l', 'u:', 'n', 'a', 'h', 'a:']
تَجۡرِى                ['t', 'a', 'ʒ', 'Q', 'r', 'i:']
مِن                  ['m', 'i', 'ŋ']
تَحۡتِهَا               ['t', 'a', 'ħ', 't', 'i', 'h', 'a']
ٱلۡأَنۡهَـٰرُ‌ۖ            ['l', 'ʔ', 'a', 'n', 'h', 'a:', 'r', 'u']
لَهُمۡ                 ['l', 'a', 'h', 'u', 'm']
فِيهَا                ['f', 'i:', 'h', 'a:']
مَا                  ['m', 'a:']
يَشَآءُونَ‌ۚ             ['j', 'a', 'ʃ', 'a:', 'ʔ', 'u:', 'n', 'a']
كَذٰلِكَ                ['k', 'a', 'ð', 'a:', 'l', 'i', 'k', 'a']
يَجۡزِى                ['j', 'a', 'ʒ', 'Q', 'z', 'i']
ٱللَّهُ                ['l', 'l', 'l', 'a', 'h', 'u']
ٱلۡمُتَّقِينَ             ['l', 'm', 'u', 't', 't', 'a', 'q', 'i:', 'n']

16:32
ٱلَّذِينَ               ['ʔ', 'a', 'l', 'a', 'ð', 'i:', 'n', 'a']
تَتَوَفَّـٰهُمُ             ['t', 'a', 't', 'a', 'w', 'a', 'f', 'f', 'a:', 'h', 'u', 'm', 'u']
ٱلۡمَلَـٰٓئِكَةُ            ['l', 'm', 'a', 'l', 'a:', 'ʔ', 'i', 'k', 'a', 't', 'u']
طَيِّبِينَ‌ۙ              ['tˤ', 'a', 'j', 'j', 'i', 'b', 'i:', 'n', 'a']
يَقُولُونَ              ['j', 'a', 'q', 'u:', 'l', 'u:', 'n', 'a']
سَلَـٰمٌ                ['s', 'a', 'l', 'a:', 'm', 'u', 'n']
عَلَيۡكُمُ               ['ʕ', 'a', 'l', 'a', 'j', 'k', 'u', 'm', 'u']
ٱدۡخُلُواۡ              ['d', 'Q', 'x', 'u', 'l', 'u:']
ٱلۡجَنَّةَ               ['l', 'ʒ', 'a', 'ñ', 'a', 't', 'a']
بِمَا                 ['b', 'i', 'm', 'a:']
كُنتُمۡ                ['k', 'u', 'ŋ', 't', 'u', 'm']
تَعۡمَلُونَ              ['t', 'a', 'ʕ', 'm', 'a', 'l', 'u:', 'n']

16:33
هَلۡ                  ['h', 'a', 'l']
يَنظُرُونَ              ['j', 'a', 'ŋˤ', 'ðˤ', 'u', 'r', 'u:', 'n', 'a']
إِلَّآ                 ['ʔ', 'i', 'l', 'l', 'a:']
أَن                  ['ʔ', 'a', 'ŋ']
تَأۡتِيَهُمُ              ['t', 'a', 'ʔ', 't', 'i', 'j', 'a', 'h', 'u', 'm', 'u']
ٱلۡمَلَـٰٓئِكَةُ            ['l', 'm', 'a', 'l', 'a:', 'ʔ', 'i', 'k', 'a', 't', 'u']
أَوۡ                  ['ʔ', 'a', 'w']
يَأۡتِىَ                ['j', 'a', 'ʔ', 't', 'i', 'j', 'a']
أَمۡرُ                 ['ʔ', 'a', 'm', 'r', 'u']
رَبِّكَ‌ۚ                ['r', 'a', 'b', 'b', 'i', 'k', 'a']
كَذٰلِكَ                ['k', 'a', 'ð', 'a:', 'l', 'i', 'k', 'a']
فَعَلَ                 ['f', 'a', 'ʕ', 'a', 'l', 'a']
ٱلَّذِينَ               ['l', 'l', 'a', 'ð', 'i:', 'n', 'a']
مِن                  ['m', 'i', 'ŋˤ']
قَبۡلِهِمۡ‌ۚ              ['q', 'a', 'b', 'Q', 'l', 'i', 'h', 'i', 'm']
وَمَا                 ['w', 'a', 'm', 'a:']
ظَلَمَهُمُ               ['ðˤ', 'a', 'l', 'a', 'm', 'a', 'h', 'u', 'm', 'u']
ٱللَّهُ                ['l', 'l', 'l', 'a', 'h', 'u']
وَلَـٰكِن               ['w', 'a', 'l', 'a:', 'k', 'i', 'ŋ']
كَانُوٓاۡ               ['k', 'a:', 'n', 'u:']
أَنفُسَهُمۡ              ['ʔ', 'a', 'ŋ', 'f', 'u', 's', 'a', 'h', 'u', 'm']
يَظۡلِمُونَ              ['j', 'a', 'ðˤ', 'l', 'i', 'm', 'u:', 'n']

16:34
فَأَصَابَهُمۡ             ['f', 'a', 'ʔ', 'a', 'sˤ', 'a:', 'b', 'a', 'h', 'u', 'm']
سَيِّـَٔـاتُ              ['s', 'a', 'j', 'j', 'i', 'ʔ', 'a:', 't', 'u']
مَا                  ['m', 'a:']
عَمِلُواۡ               ['ʕ', 'a', 'm', 'i', 'l', 'u:']
وَحَاقَ                ['w', 'a', 'ħ', 'a:', 'q', 'a']
بِهِم                 ['b', 'i', 'h', 'i', 'm̃']
مَّا                  ['a:']
كَانُواۡ               ['k', 'a:', 'n', 'u:']
بِهِۦ                 ['b', 'i', 'h', 'i:']
يَسۡتَهۡزِءُونَ            ['j', 'a', 's', 't', 'a', 'h', 'z', 'i', 'ʔ', 'u:', 'n']

16:35
وَقَالَ                ['w', 'a', 'q', 'a:', 'l', 'a']
ٱلَّذِينَ               ['l', 'l', 'a', 'ð', 'i:', 'n', 'a']
أَشۡرَكُواۡ              ['ʔ', 'a', 'ʃ', 'r', 'a', 'k', 'u:']
لَوۡ                  ['l', 'a', 'w']
شَآءَ                 ['ʃ', 'a:', 'ʔ', 'a']
ٱللَّهُ                ['l', 'l', 'l', 'a', 'h', 'u']
مَا                  ['m', 'a:']
عَبَدۡنَا               ['ʕ', 'a', 'b', 'a', 'd', 'Q', 'n', 'a:']
مِن                  ['m', 'i', 'ŋ']
دُونِهِۦ               ['d', 'u:', 'n', 'i', 'h', 'i:']
مِن                  ['m', 'i', 'ŋ']
شَىۡءٍ                 ['ʃ', 'a', 'j', 'ʔ', 'i']
نَّحۡنُ                 ['ñ', 'a', 'ħ', 'n', 'u']
وَلَآ                 ['w', 'a', 'l', 'a:']
ءَابَآؤُنَا             ['ʔ', 'a:', 'b', 'a:', 'ʔ', 'u', 'n', 'a:']
وَلَا                 ['w', 'a', 'l', 'a:']
حَرَّمۡنَا               ['ħ', 'a', 'r', 'r', 'a', 'm', 'n', 'a:']
مِن                  ['m', 'i', 'ŋ']
دُونِهِۦ               ['d', 'u:', 'n', 'i', 'h', 'i:']
مِن                  ['m', 'i', 'ŋ']
شَىۡءٍ‌ۚ                ['ʃ', 'a', 'j', 'ʔ', 'i', 'ŋ']
كَذٰلِكَ                ['k', 'a', 'ð', 'a:', 'l', 'i', 'k', 'a']
فَعَلَ                 ['f', 'a', 'ʕ', 'a', 'l', 'a']
ٱلَّذِينَ               ['l', 'l', 'a', 'ð', 'i:', 'n', 'a']
مِن                  ['m', 'i', 'ŋˤ']
قَبۡلِهِمۡ‌ۚ              ['q', 'a', 'b', 'Q', 'l', 'i', 'h', 'i', 'm']
فَهَلۡ                 ['f', 'a', 'h', 'a', 'l']
عَلَى                 ['ʕ', 'a', 'l', 'a']
ٱلرُّسُلِ               ['r', 'r', 'u', 's', 'u', 'l', 'i']
إِلَّا                 ['ʔ', 'i', 'l', 'l', 'a']
ٱلۡبَلَـٰغُ              ['l', 'b', 'a', 'l', 'a:', 'ɣ', 'u']
ٱلۡمُبِينُ              ['l', 'm', 'u', 'b', 'i:', 'n']

16:36
وَلَقَدۡ                ['w', 'a', 'l', 'a', 'q', 'a', 'd', 'QQ']
بَعَثۡنَا               ['b', 'a', 'ʕ', 'a', 'θ', 'n', 'a:']
فِى                  ['f', 'i:']
كُلِّ                  ['k', 'u', 'l', 'l', 'i']
أُمَّةٍ                 ['ʔ', 'u', 'm̃', 'a', 't', 'i']
رَّسُولاً               ['r', 'r', 'a', 's', 'u:', 'l', 'a', 'n']
أَنِ                  ['ʔ', 'a', 'n', 'i']
ٱعۡبُدُواۡ              ['ʕ', 'b', 'u', 'd', 'u:']
ٱللَّهَ                ['l', 'l', 'l', 'a', 'h', 'a']
وَٱجۡتَنِبُواۡ            ['w', 'a', 'ʒ', 'Q', 't', 'a', 'n', 'i', 'b', 'u:']
ٱلطَّـٰغُوتَ‌ۖ            ['tˤ', 'tˤ', 'a:', 'ɣ', 'u:', 't', 'a']
فَمِنۡهُم               ['f', 'a', 'm', 'i', 'n', 'h', 'u', 'm̃']
مَّنۡ                  ['a', 'n']
هَدَى                 ['h', 'a', 'd', 'a']
ٱللَّهُ                ['l', 'l', 'l', 'a', 'h', 'u']
وَمِنۡهُم               ['w', 'a', 'm', 'i', 'n', 'h', 'u', 'm̃']
مَّنۡ                  ['a', 'n']
حَقَّتۡ                 ['ħ', 'a', 'q', 'q', 'a', 't']
عَلَيۡهِ                ['ʕ', 'a', 'l', 'a', 'j', 'h', 'i']
ٱلضَّلَـٰلَةُ‌ۚ            ['dˤ', 'dˤ', 'a', 'l', 'a:', 'l', 'a', 't', 'u']
فَسِيرُواۡ              ['f', 'a', 's', 'i:', 'r', 'u:']
فِى                  ['f', 'i']
ٱلۡأَرۡضِ               ['l', 'ʔ', 'a', 'r', 'dˤ', 'i']
فَٱنظُرُواۡ             ['f', 'a', 'ŋˤ', 'ðˤ', 'u', 'r', 'u:']
كَيۡفَ                 ['k', 'a', 'j', 'f', 'a']
كَانَ                 ['k', 'a:', 'n', 'a']
عَـٰقِبَةُ               ['ʕ', 'a:', 'q', 'i', 'b', 'a', 't', 'u']
ٱلۡمُكَذِّبِينَ            ['l', 'm', 'u', 'k', 'a', 'ð', 'ð', 'i', 'b', 'i:', 'n']

16:37
إِن                  ['ʔ', 'i', 'ŋ']
تَحۡرِصۡ                ['t', 'a', 'ħ', 'r', 'i', 'sˤ']
عَلَىٰ                 ['ʕ', 'a', 'l', 'a:']
هُدَٮٰهُمۡ               ['h', 'u', 'd', 'a:', 'h', 'u', 'm']
فَإِنَّ                 ['f', 'a', 'ʔ', 'i', 'ñ', 'a']
ٱللَّهَ                ['l', 'l', 'l', 'a', 'h', 'a']
لَا                  ['l', 'a:']
يَهۡدِى                ['j', 'a', 'h', 'd', 'i:']
مَن                  ['m', 'a']
يُضِلُّ‌ۖ                ['j̃', 'u', 'dˤ', 'i', 'l', 'l', 'u']
وَمَا                 ['w', 'a', 'm', 'a:']
لَهُم                 ['l', 'a', 'h', 'u', 'm̃']
مِّن                  ['i']
نَّـٰصِرِينَ              ['ñ', 'a:', 'sˤ', 'i', 'r', 'i:', 'n']

16:38
وَأَقۡسَمُواۡ             ['w', 'a', 'ʔ', 'a', 'q', 'Q', 's', 'a', 'm', 'u:']
بِٱللَّهِ               ['b', 'i', 'l', 'l', 'l', 'a', 'h', 'i']
جَهۡدَ                 ['ʒ', 'a', 'h', 'd', 'a']
أَيۡمَـٰنِهِمۡ‌ۙ            ['ʔ', 'a', 'j', 'm', 'a:', 'n', 'i', 'h', 'i', 'm']
لَا                  ['l', 'a:']
يَبۡعَثُ                ['j', 'a', 'b', 'Q', 'ʕ', 'a', 'θ', 'u']
ٱللَّهُ                ['l', 'l', 'l', 'a', 'h', 'u']
مَن                  ['m', 'a']
يَمُوتُ‌ۚ               ['j̃', 'a', 'm', 'u:', 't', 'u']
بَلَىٰ                 ['b', 'a', 'l', 'a:']
وَعۡدًا                ['w', 'a', 'ʕ', 'd', 'a', 'n']
عَلَيۡهِ                ['ʕ', 'a', 'l', 'a', 'j', 'h', 'i']
حَقًّا                 ['ħ', 'a', 'q', 'q', 'a']
وَلَـٰكِنَّ               ['w̃', 'a', 'l', 'a:', 'k', 'i', 'ñ', 'a']
أَكۡثَرَ                ['ʔ', 'a', 'k', 'θ', 'a', 'r', 'a']
ٱلنَّاسِ               ['ñ', 'a:', 's', 'i']
لَا                  ['l', 'a:']
يَعۡلَمُونَ              ['j', 'a', 'ʕ', 'l', 'a', 'm', 'u:', 'n']

16:39
لِيُبَيِّنَ               ['l', 'i', 'j', 'u', 'b', 'a', 'j', 'j', 'i', 'n', 'a']
لَهُمُ                 ['l', 'a', 'h', 'u', 'm', 'u']
ٱلَّذِى                ['l', 'l', 'a', 'ð', 'i:']
يَخۡتَلِفُونَ             ['j', 'a', 'x', 't', 'a', 'l', 'i', 'f', 'u:', 'n', 'a']
فِيهِ                 ['f', 'i:', 'h', 'i']
وَلِيَعۡلَمَ              ['w', 'a', 'l', 'i', 'j', 'a', 'ʕ', 'l', 'a', 'm', 'a']
ٱلَّذِينَ               ['l', 'l', 'a', 'ð', 'i:', 'n', 'a']
كَفَرُوٓاۡ               ['k', 'a', 'f', 'a', 'r', 'u:']
أَنَّهُمۡ                ['ʔ', 'a', 'ñ', 'a', 'h', 'u', 'm']
كَانُواۡ               ['k', 'a:', 'n', 'u:']
كَـٰذِبِينَ              ['k', 'a:', 'ð', 'i', 'b', 'i:', 'n']

16:40
إِنَّمَا                ['ʔ', 'i', 'ñ', 'a', 'm', 'a:']
قَوۡلُنَا               ['q', 'a', 'w', 'l', 'u', 'n', 'a:']
لِشَىۡءٍ                ['l', 'i', 'ʃ', 'a', 'j', 'ʔ', 'i', 'n']
إِذَآ                 ['ʔ', 'i', 'ð', 'a:']
أَرَدۡنَـٰهُ              ['ʔ', 'a', 'r', 'a', 'd', 'Q', 'n', 'a:', 'h', 'u']
أَن                  ['ʔ', 'a']
نَّقُولَ                ['ñ', 'a', 'q', 'u:', 'l', 'a']
لَهُۥ                 ['l', 'a', 'h', 'u:']
كُن                  ['k', 'u', 'ŋ']
فَيَكُونُ               ['f', 'a', 'j', 'a', 'k', 'u:', 'n']

16:41
وَٱلَّذِينَ              ['w', 'a', 'l', 'l', 'a', 'ð', 'i:', 'n', 'a']
هَاجَرُواۡ              ['h', 'a:', 'ʒ', 'a', 'r', 'u:']
فِى                  ['f', 'i']
ٱللَّهِ                ['l', 'l', 'l', 'a', 'h', 'i']
مِنۢ                  ['m', 'i', 'm̃']
بَعۡدِ                 ['b', 'a', 'ʕ', 'd', 'i']
مَا                  ['m', 'a:']
ظُلِمُواۡ               ['ðˤ', 'u', 'l', 'i', 'm', 'u:']
لَنُبَوِّئَنَّهُمۡ            ['l', 'a', 'n', 'u', 'b', 'a', 'w', 'w', 'i', 'ʔ', 'a', 'ñ', 'a', 'h', 'u', 'm']
فِى                  ['f', 'i']
ٱلدُّنۡيَا              ['d', 'd', 'u', 'n', 'j', 'a:']
حَسَنَةً‌ۖ               ['ħ', 'a', 's', 'a', 'n', 'a', 't', 'a']
وَلَأَجۡرُ               ['w̃', 'a', 'l', 'a', 'ʔ', 'a', 'ʒ', 'Q', 'r', 'u']
ٱلۡأَخِرَةِ              ['l', 'ʔ', 'a', 'x', 'i', 'r', 'a', 't', 'i']
أَكۡبَرُ‌ۚ               ['ʔ', 'a', 'k', 'b', 'a', 'r', 'u']
لَوۡ                  ['l', 'a', 'w']
كَانُواۡ               ['k', 'a:', 'n', 'u:']
يَعۡلَمُونَ              ['j', 'a', 'ʕ', 'l', 'a', 'm', 'u:', 'n']

16:42
ٱلَّذِينَ               ['ʔ', 'a', 'l', 'a', 'ð', 'i:', 'n', 'a']
صَبَرُواۡ               ['sˤ', 'a', 'b', 'a', 'r', 'u:']
وَعَلَىٰ                ['w', 'a', 'ʕ', 'a', 'l', 'a:']
رَبِّهِمۡ                ['r', 'a', 'b', 'b', 'i', 'h', 'i', 'm']
يَتَوَكَّلُونَ             ['j', 'a', 't', 'a', 'w', 'a', 'k', 'k', 'a', 'l', 'u:', 'n']

16:43
وَمَآ                 ['w', 'a', 'm', 'a:']
أَرۡسَلۡنَا              ['ʔ', 'a', 'r', 's', 'a', 'l', 'n', 'a:']
مِن                  ['m', 'i', 'ŋˤ']
قَبۡلِكَ                ['q', 'a', 'b', 'Q', 'l', 'i', 'k', 'a']
إِلَّا                 ['ʔ', 'i', 'l', 'l', 'a:']
رِجَالاً               ['r', 'i', 'ʒ', 'a:', 'l', 'a']
نُّوحِىٓ                ['ñ', 'u:', 'ħ', 'i:']
إِلَيۡهِمۡ‌ۚ              ['ʔ', 'i', 'l', 'a', 'j', 'h', 'i', 'm']
فَسۡــَٔلُوٓاۡ             ['f', 'a', 's', 'ʔ', 'a', 'l', 'u:']
أَهۡلَ                 ['ʔ', 'a', 'h', 'l', 'a']
ٱلذِّكۡرِ               ['ð', 'ð', 'i', 'k', 'r', 'i']
إِن                  ['ʔ', 'i', 'ŋ']
كُنتُمۡ                ['k', 'u', 'ŋ', 't', 'u', 'm']
لَا                  ['l', 'a:']
تَعۡلَمُونَ              ['t', 'a', 'ʕ', 'l', 'a', 'm', 'u:', 'n']

16:44
بِٱلۡبَيِّنَـٰتِ            ['b', 'i', 'l', 'b', 'a', 'j', 'j', 'i', 'n', 'a:', 't', 'i']
وَٱلزُّبُرِ‌ۗ             ['w', 'a', 'z', 'z', 'u', 'b', 'u', 'r']
وَأَنزَلۡنَآ             ['w', 'a', 'ʔ', 'a', 'ŋ', 'z', 'a', 'l', 'n', 'a:']
إِلَيۡكَ                ['ʔ', 'i', 'l', 'a', 'j', 'k', 'a']
ٱلذِّكۡرَ               ['ð', 'ð', 'i', 'k', 'r', 'a']
لِتُبَيِّنَ               ['l', 'i', 't', 'u', 'b', 'a', 'j', 'j', 'i', 'n', 'a']
لِلنَّاسِ               ['l', 'i', 'l', 'ñ', 'a:', 's', 'i']
مَا                  ['m', 'a:']
نُزِّلَ                 ['n', 'u', 'z', 'z', 'i', 'l', 'a']
إِلَيۡهِمۡ               ['ʔ', 'i', 'l', 'a', 'j', 'h', 'i', 'm']
وَلَعَلَّهُمۡ              ['w', 'a', 'l', 'a', 'ʕ', 'a', 'l', 'l', 'a', 'h', 'u', 'm']
يَتَفَكَّرُونَ             ['j', 'a', 't', 'a', 'f', 'a', 'k', 'k', 'a', 'r', 'u:', 'n']

16:45
أَفَأَمِنَ               ['ʔ', 'a', 'f', 'a', 'ʔ', 'a', 'm', 'i', 'n', 'a']
ٱلَّذِينَ               ['l', 'l', 'a', 'ð', 'i:', 'n', 'a']
مَكَرُواۡ               ['m', 'a', 'k', 'a', 'r', 'u:']
ٱلسَّيِّـَٔـاتِ            ['s', 's', 'a', 'j', 'j', 'i', 'ʔ', 'a:', 't', 'i']
أَن                  ['ʔ', 'a']
يَخۡسِفَ                ['j̃', 'a', 'x', 's', 'i', 'f', 'a']
ٱللَّهُ                ['l', 'l', 'l', 'a', 'h', 'u']
بِهِمُ                 ['b', 'i', 'h', 'i', 'm', 'u']
ٱلۡأَرۡضَ               ['l', 'ʔ', 'a', 'r', 'dˤ', 'a']
أَوۡ                  ['ʔ', 'a', 'w']
يَأۡتِيَهُمُ              ['j', 'a', 'ʔ', 't', 'i', 'j', 'a', 'h', 'u', 'm', 'u']
ٱلۡعَذَابُ              ['l', 'ʕ', 'a', 'ð', 'a:', 'b', 'u']
مِنۡ                  ['m', 'i', 'n']
حَيۡثُ                 ['ħ', 'a', 'j', 'θ', 'u']
لَا                  ['l', 'a:']
يَشۡعُرُونَ              ['j', 'a', 'ʃ', 'ʕ', 'u', 'r', 'u:', 'n']

16:46
أَوۡ                  ['ʔ', 'a', 'w']
يَأۡخُذَهُمۡ              ['j', 'a', 'ʔ', 'x', 'u', 'ð', 'a', 'h', 'u', 'm']
فِى                  ['f', 'i:']
تَقَلُّبِهِمۡ              ['t', 'a', 'q', 'a', 'l', 'l', 'u', 'b', 'i', 'h', 'i', 'm']
فَمَا                 ['f', 'a', 'm', 'a:']
هُم                  ['h', 'u', 'ɱ']
بِمُعۡجِزِينَ             ['b', 'i', 'm', 'u', 'ʕ', 'ʒ', 'i', 'z', 'i:', 'n']

16:47
أَوۡ                  ['ʔ', 'a', 'w']
يَأۡخُذَهُمۡ              ['j', 'a', 'ʔ', 'x', 'u', 'ð', 'a', 'h', 'u', 'm']
عَلَىٰ                 ['ʕ', 'a', 'l', 'a:']
تَخَوُّفٍ                ['t', 'a', 'x', 'a', 'w', 'w', 'u', 'f', 'i', 'ŋ']
فَإِنَّ                 ['f', 'a', 'ʔ', 'i', 'ñ', 'a']
رَبَّكُمۡ                ['r', 'a', 'b', 'b', 'a', 'k', 'u', 'm']
لَرَءُوفٌ               ['l', 'a', 'r', 'a', 'ʔ', 'u:', 'f', 'u']
رَّحِيمٌ                ['r', 'r', 'a', 'ħ', 'i:', 'm']

16:48
أَوَلَمۡ                ['ʔ', 'a', 'w', 'a', 'l', 'a', 'm']
يَرَوۡاۡ                ['j', 'a', 'r', 'a', 'w']
إِلَىٰ                 ['ʔ', 'i', 'l', 'a:']
مَا                  ['m', 'a:']
خَلَقَ                 ['x', 'a', 'l', 'a', 'q', 'a']
ٱللَّهُ                ['l', 'l', 'l', 'a', 'h', 'u']
مِن                  ['m', 'i', 'ŋ']
شَىۡءٍ                 ['ʃ', 'a', 'j', 'ʔ', 'i']
يَتَفَيَّؤُاۡ              ['j̃', 'a', 't', 'a', 'f', 'a', 'j', 'j', 'a', 'ʔ', 'u']
ظِلَـٰلُهُۥ              ['ðˤ', 'i', 'l', 'a:', 'l', 'u', 'h', 'u:']
عَنِ                  ['ʕ', 'a', 'n', 'i']
ٱلۡيَمِينِ              ['l', 'j', 'a', 'm', 'i:', 'n', 'i']
وَٱلشَّمَآئِلِ            ['w', 'a', 'ʃ', 'ʃ', 'a', 'm', 'a:', 'ʔ', 'i', 'l', 'i']
سُجَّدًا                ['s', 'u', 'ʒ', 'ʒ', 'a', 'd', 'a']
لِّلَّهِ                 ['l', 'i', 'l', 'l', 'a', 'h', 'i']
وَهُمۡ                 ['w', 'a', 'h', 'u', 'm']
دٰخِرُونَ               ['d', 'a:', 'x', 'i', 'r', 'u:', 'n']

16:49
وَلِلَّهِ                ['w', 'a', 'l', 'i', 'l', 'l', 'a', 'h', 'i']
يَسۡجُدُ                ['j', 'a', 's', 'ʒ', 'u', 'd', 'u']
مَا                  ['m', 'a:']
فِى                  ['f', 'i']
ٱلسَّمَـٰوٰتِ             ['s', 's', 'a', 'm', 'a:', 'w', 'a:', 't', 'i']
وَمَا                 ['w', 'a', 'm', 'a:']
فِى                  ['f', 'i']
ٱلۡأَرۡضِ               ['l', 'ʔ', 'a', 'r', 'dˤ', 'i']
مِن                  ['m', 'i', 'ŋ']
دَآبَّةٍ                ['d', 'a:', 'b', 'b', 'a', 't', 'i']
وَٱلۡمَلَـٰٓئِكَةُ           ['w̃', 'a', 'l', 'm', 'a', 'l', 'a:', 'ʔ', 'i', 'k', 'a', 't', 'u']
وَهُمۡ                 ['w', 'a', 'h', 'u', 'm']
لَا                  ['l', 'a:']
يَسۡتَكۡبِرُونَ            ['j', 'a', 's', 't', 'a', 'k', 'b', 'i', 'r', 'u:', 'n']

16:50
يَخَافُونَ              ['j', 'a', 'x', 'a:', 'f', 'u:', 'n', 'a']
رَبَّهُم                ['r', 'a', 'b', 'b', 'a', 'h', 'u', 'm̃']
مِّن                  ['i', 'ŋ']
فَوۡقِهِمۡ               ['f', 'a', 'w', 'q', 'i', 'h', 'i', 'm']
وَيَفۡعَلُونَ             ['w', 'a', 'j', 'a', 'f', 'ʕ', 'a', 'l', 'u:', 'n', 'a']
مَا                  ['m', 'a:']
يُؤۡمَرُونَ              ['j', 'u', 'ʔ', 'm', 'a', 'r', 'u:', 'n', 'a']
۩                   []

16:51
۞وَقَالَ               ['w', 'a', 'q', 'a:', 'l', 'a']
ٱللَّهُ                ['l', 'l', 'l', 'a', 'h', 'u']
لَا                  ['l', 'a:']
تَتَّخِذُوٓاۡ              ['t', 'a', 't', 't', 'a', 'x', 'i', 'ð', 'u:']
إِلَـٰهَيۡنِ              ['ʔ', 'i', 'l', 'a:', 'h', 'a', 'j', 'n', 'i']
ٱثۡنَيۡنِ‌ۖ              ['θ', 'n', 'a', 'j', 'n', 'i']
إِنَّمَا                ['ʔ', 'i', 'ñ', 'a', 'm', 'a:']
هُوَ                  ['h', 'u', 'w', 'a']
إِلَـٰهٌ                ['ʔ', 'i', 'l', 'a:', 'h', 'u']
وٰحِدٌ‌ۖ                ['w̃', 'a:', 'ħ', 'i', 'd', 'u', 'ŋ']
فَإِيَّـٰىَ               ['f', 'a', 'ʔ', 'i', 'j', 'j', 'a:', 'j', 'a']
فَٱرۡهَبُونِ             ['f', 'a', 'r', 'h', 'a', 'b', 'u:', 'n']

16:52
وَلَهُۥ                ['w', 'a', 'l', 'a', 'h', 'u:']
مَا                  ['m', 'a:']
فِى                  ['f', 'i']
ٱلسَّمَـٰوٰتِ             ['s', 's', 'a', 'm', 'a:', 'w', 'a:', 't', 'i']
وَٱلۡأَرۡضِ              ['w', 'a', 'l', 'ʔ', 'a', 'r', 'dˤ', 'i']
وَلَهُ                 ['w', 'a', 'l', 'a', 'h', 'u']
ٱلدِّينُ               ['d', 'd', 'i:', 'n', 'u']
وَاصِبًا‌ۚ              ['w', 'a:', 'sˤ', 'i', 'b', 'a', 'n']
أَفَغَيۡرَ               ['ʔ', 'a', 'f', 'a', 'ɣ', 'a', 'j', 'r', 'a']
ٱللَّهِ                ['l', 'l', 'l', 'a', 'h', 'i']
تَتَّقُونَ               ['t', 'a', 't', 't', 'a', 'q', 'u:', 'n']

16:53
وَمَا                 ['w', 'a', 'm', 'a:']
بِكُم                 ['b', 'i', 'k', 'u', 'm̃']
مِّن                  ['i']
نِّعۡمَةٍ                ['ñ', 'i', 'ʕ', 'm', 'a', 't', 'i', 'ŋ']
فَمِنَ                 ['f', 'a', 'm', 'i', 'n', 'a']
ٱللَّهِ‌ۖ               ['l', 'l', 'l', 'a', 'h', 'i']
ثُمَّ                  ['θ', 'u', 'm̃', 'a']
