الٓمٓ                 ['l', 'm']
ثُمَّ                  ['θ', 'u', 'm̰', 'a']
أَقۡرَرۡتُمۡ              ['ʔ', 'a', 'q', 'Q', 'r', 'a', 'r', 't', 'u', 'm']
وَأَنتُمۡ               ['w', 'a', 'ʔ', 'a', 'Ikh1', 't', 'u', 'm']
تَشۡهَدُونَ              ['t', 'a', 'ʃ', 'h', 'a', 'd', 'u:', 'n']

85
ثُمَّ                  ['θ', 'u', 'm̰', 'a']
أَنتُمۡ                ['ʔ', 'a', 'Ikh1', 't', 'u', 'm']
هَـٰٓؤُلَآءِ              ['h', 'a:', 'ʔ', 'u', 'l', 'a:', 'ʔ', 'i']
تَقۡتُلُونَ              ['t', 'a', 'q', 'Q', 't', 'u', 'l', 'u:', 'n', 'a']
أَنفُسَكُمۡ              ['ʔ', 'a', 'Ikh1', 'f', 'u', 's', 'a', 'k', 'u', 'm']
وَتُخۡرِجُونَ             ['w', 'a', 't', 'u', 'x', 'r', 'i', 'ʒ', 'u:', 'n', 'a']
فَرِيقًا               ['f', 'a', 'r', 'i:', 'q', 'a']
مِّنكُم                ['m̰', 'i', 'Ikh1', 'k', 'u', 'm̰']
مِّن                  ['i', 'Ikh1']
دِيَـٰرِهِمۡ              ['d', 'i', 'j', 'a:', 'r', 'i', 'h', 'i', 'm']
تَظَـٰهَرُونَ             ['t', 'a', 'ðˤ', 'a:', 'h', 'a', 'r', 'u:', 'n', 'a']
عَلَيۡهِم               ['ʕ', 'a', 'l', 'a', 'j', 'h', 'i', 'Ikh']
بِٱلۡإِثۡمِ              ['b', 'i', 'l', 'ʔ', 'i', 'θ', 'm', 'i']
وَٱلۡعُدۡوٰنِ             ['w', 'a', 'l', 'ʕ', 'u', 'd', 'Q', 'w', 'a:', 'n', 'i']
وَإِن                 ['w', 'a', 'ʔ', 'i']
يَأۡتُوكُمۡ              ['j̰', 'a', 'ʔ', 't', 'u:', 'k', 'u', 'm']
أُسَـٰرَىٰ               ['ʔ', 'u', 's', 'a:', 'r', 'a:']
تُفَـٰدُوهُمۡ             ['t', 'u', 'f', 'a:', 'd', 'u:', 'h', 'u', 'm']
وَهُوَ                 ['w', 'a', 'h', 'u', 'w', 'a']
مُحَرَّمٌ                ['m', 'u', 'ħ', 'a', 'r', 'r', 'a', 'm', 'un']
عَلَيۡكُمۡ               ['ʕ', 'a', 'l', 'a', 'j', 'k', 'u', 'm']
إِخۡرَاجُهُمۡ‌ۚ            ['ʔ', 'i', 'x', 'r', 'a:', 'ʒ', 'u', 'h', 'u', 'm']
أَفَتُؤۡمِنُونَ            ['ʔ', 'a', 'f', 'a', 't', 'u', 'ʔ', 'm', 'i', 'n', 'u:', 'n', 'a']
بِبَعۡضِ                ['b', 'i', 'b', 'a', 'ʕ', 'dˤ', 'i']
ٱلۡكِتَـٰبِ              ['l', 'k', 'i', 't', 'a:', 'b', 'i']
وَتَكۡفُرُونَ             ['w', 'a', 't', 'a', 'k', 'f', 'u', 'r', 'u:', 'n', 'a']
بِبَعۡضٍ‌ۚ               ['b', 'i', 'b', 'a', 'ʕ', 'dˤ', 'i', 'Ikh1']
فَمَا                 ['f', 'a', 'm', 'a:']
جَزَآءُ                ['ʒ', 'a', 'z', 'a:', 'ʔ', 'u']
مَن                  ['m', 'a']
يَفۡعَلُ                ['j̰', 'a', 'f', 'ʕ', 'a', 'l', 'u']
ذٰلِكَ                 ['ð', 'a:', 'l', 'i', 'k', 'a']
مِنكُمۡ                ['m', 'i', 'Ikh1', 'k', 'u', 'm']
إِلَّا                 ['ʔ', 'i', 'l', 'l', 'a:']
خِزۡىٌ                 ['x', 'i', 'z', 'j', 'u', 'Ikh1']
فِى                  ['f', 'i:']
ٱلۡحَيَوٰةِ              ['l', 'ħ', 'a', 'j', 'a', 't', 'i']
ٱلدُّنۡيَا‌ۖ             ['d', 'd', 'u', 'n', 'j', 'a:']
وَيَوۡمَ                ['w', 'a', 'j', 'a', 'w', 'm', 'a']
ٱلۡقِيَـٰمَةِ             ['l', 'q', 'i', 'j', 'a:', 'm', 'a', 't', 'i']
يُرَدُّونَ               ['j', 'u', 'r', 'a', 'd', 'd', 'u:', 'n', 'a']
إِلَىٰٓ                 ['ʔ', 'i', 'l', 'a:']
أَشَدِّ                 ['ʔ', 'a', 'ʃ', 'a', 'd', 'd', 'i']
ٱلۡعَذَابِ‌ۗ             ['l', 'ʕ', 'a', 'ð', 'a:', 'b', 'i']
وَمَا                 ['w', 'a', 'm', 'a:']
ٱللَّهُ                ['l', 'l', 'l', 'a', 'h', 'u']
بِغَـٰفِلٍ               ['b', 'i', 'ɣ', 'a:', 'f', 'i', 'l', 'in']
عَمَّا                 ['ʕ', 'a', 'm̰', 'a:']
تَعۡمَلُونَ              ['t', 'a', 'ʕ', 'm', 'a', 'l', 'u:', 'n']

86
أُوۡلَـٰٓئِكَ              ['ʔ', 'u', 'l', 'a:', 'ʔ', 'i', 'k', 'a']
ٱلَّذِينَ               ['l', 'l', 'a', 'ð', 'i:', 'n', 'a']
ٱشۡتَرَوُاۡ              ['ʃ', 't', 'a', 'r', 'a', 'w', 'u']
ٱلۡحَيَوٰةَ              ['l', 'ħ', 'a', 'j', 'a', 't', 'a']
ٱلدُّنۡيَا              ['d', 'd', 'u', 'n', 'j', 'a:']
بِٱلۡأَخِرَةِ‌ۖ            ['b', 'i', 'l', 'ʔ', 'a', 'x', 'i', 'r', 'a', 't', 'i']
فَلَا                 ['f', 'a', 'l', 'a:']
يُخَفَّفُ                ['j', 'u', 'x', 'a', 'f', 'f', 'a', 'f', 'u']
عَنۡهُمُ                ['ʕ', 'a', 'n', 'h', 'u', 'm', 'u']
ٱلۡعَذَابُ              ['l', 'ʕ', 'a', 'ð', 'a:', 'b', 'u']
وَلَا                 ['w', 'a', 'l', 'a:']
هُمۡ                  ['h', 'u', 'm']
يُنصَرُونَ              ['j', 'u', 'Ikh2', 'sˤ', 'a', 'r', 'u:', 'n']

87
وَلَقَدۡ                ['w', 'a', 'l', 'a', 'q', 'a', 'd', 'QQ']
ءَاتَيۡنَا              ['ʔ', 'a:', 't', 'a', 'j', 'n', 'a:']
مُوسَى                ['m', 'u:', 's', 'a:']
ٱلۡكِتَـٰبَ              ['l', 'k', 'i', 't', 'a:', 'b', 'a']
وَقَفَّيۡنَا              ['w', 'a', 'q', 'a', 'f', 'f', 'a', 'j', 'n', 'a:']
مِنۢ                  ['m', 'i', 'm̰']
بَعۡدِهِۦ               ['b', 'a', 'ʕ', 'd', 'i', 'h', 'i:']
بِٱلرُّسُلِ‌ۖ             ['b', 'i', 'r', 'r', 'u', 's', 'u', 'l', 'i']
وَءَاتَيۡنَا             ['w', 'a', 'ʔ', 'a:', 't', 'a', 'j', 'n', 'a:']
عِيسَى                ['ʕ', 'i:', 's', 'a:']
ٱبۡنَ                 ['b', 'Q', 'n', 'a']
مَرۡيَمَ                ['m', 'a', 'r', 'j', 'a', 'm', 'a']
ٱلۡبَيِّنَـٰتِ             ['l', 'b', 'a', 'j', 'j', 'i', 'n', 'a:', 't', 'i']
وَأَيَّدۡنَـٰهُ             ['w', 'a', 'ʔ', 'a', 'j', 'j', 'a', 'd', 'Q', 'n', 'a:', 'h', 'u']
بِرُوحِ                ['b', 'i', 'r', 'u:', 'ħ', 'i']
ٱلۡقُدُسِ‌ۗ              ['l', 'q', 'u', 'd', 'u', 's', 'i']
أَفَكُلَّمَا              ['ʔ', 'a', 'f', 'a', 'k', 'u', 'l', 'l', 'a', 'm', 'a:']
جَآءَكُمۡ               ['ʒ', 'a:', 'ʔ', 'a', 'k', 'u', 'm']
رَسُولُۢ                ['r', 'a', 's', 'u:', 'l', 'u', 'm̰']
بِمَا                 ['b', 'i', 'm', 'a:']
لَا                  ['l', 'a:']
تَهۡوَىٰٓ                ['t', 'a', 'h', 'w', 'a:']
أَنفُسُكُمُ              ['ʔ', 'a', 'Ikh1', 'f', 'u', 's', 'u', 'k', 'u', 'm', 'u']
ٱسۡتَكۡبَرۡتُمۡ            ['s', 't', 'a', 'k', 'b', 'a', 'r', 't', 'u', 'm']
فَفَرِيقًا              ['f', 'a', 'f', 'a', 'r', 'i:', 'q', 'a', 'Ikh1']
كَذَّبۡتُمۡ               ['k', 'a', 'ð', 'ð', 'a', 'b', 'Q', 't', 'u', 'm']
وَفَرِيقًا              ['w', 'a', 'f', 'a', 'r', 'i:', 'q', 'a', 'Ikh1']
تَقۡتُلُونَ              ['t', 'a', 'q', 'Q', 't', 'u', 'l', 'u:', 'n']

88
وَقَالُواۡ              ['w', 'a', 'q', 'a:', 'l', 'u:']
قُلُوبُنَا              ['q', 'u', 'l', 'u:', 'b', 'u', 'n', 'a:']
غُلۡفُۢ‌ۚ                ['ɣ', 'u', 'l', 'f', 'u', 'm̰']
بَل                  ['b', 'a', 'l']
لَّعَنَهُمُ               ['l', 'l', 'a', 'ʕ', 'a', 'n', 'a', 'h', 'u', 'm', 'u']
ٱللَّهُ                ['l', 'l', 'l', 'a', 'h', 'u']
بِكُفۡرِهِمۡ              ['b', 'i', 'k', 'u', 'f', 'r', 'i', 'h', 'i', 'm']
فَقَلِيلاً              ['f', 'a', 'q', 'a', 'l', 'i:', 'l:', 'a']
مَّا                  ['m̰', 'a:']
يُؤۡمِنُونَ              ['j', 'u', 'ʔ', 'm', 'i', 'n', 'u:', 'n']

89
وَلَمَّا                ['w', 'a', 'l', 'a', 'm̰', 'a:']
جَآءَهُمۡ               ['ʒ', 'a:', 'ʔ', 'a', 'h', 'u', 'm']
كِتَـٰبٌ                ['k', 'i', 't', 'a:', 'b', 'u']
مِّنۡ                  ['m̰', 'i', 'n']
عِندِ                 ['ʕ', 'i', 'Ikh1', 'd', 'i']
ٱللَّهِ                ['l', 'l', 'l', 'a', 'h', 'i']
مُصَدِّقٌ                ['m', 'u', 'sˤ', 'a', 'd', 'd', 'i', 'q', 'u']
لِّمَا                 ['l', 'l', 'i', 'm', 'a:']
مَعَهُمۡ                ['m', 'a', 'ʕ', 'a', 'h', 'u', 'm']
وَكَانُواۡ              ['w', 'a', 'k', 'a:', 'n', 'u:']
مِن                  ['m', 'i', 'Ikh2']
قَبۡلُ                 ['q', 'a', 'b', 'Q', 'l', 'u']
يَسۡتَفۡتِحُونَ            ['j', 'a', 's', 't', 'a', 'f', 't', 'i', 'ħ', 'u:', 'n', 'a']
عَلَى                 ['ʕ', 'a', 'l', 'a:']
ٱلَّذِينَ               ['l', 'l', 'a', 'ð', 'i:', 'n', 'a']
كَفَرُواۡ               ['k', 'a', 'f', 'a', 'r', 'u:']
فَلَمَّا                ['f', 'a', 'l', 'a', 'm̰', 'a:']
جَآءَهُم               ['ʒ', 'a:', 'ʔ', 'a', 'h', 'u', 'm̰']
مَّا                  ['a:']
عَرَفُواۡ               ['ʕ', 'a', 'r', 'a', 'f', 'u:']
كَفَرُواۡ               ['k', 'a', 'f', 'a', 'r', 'u:']
بِهِۦ‌ۚ                ['b', 'i', 'h', 'i:']
فَلَعۡنَةُ               ['f', 'a', 'l', 'a', 'ʕ', 'n', 'a', 't', 'u']
ٱللَّهِ                ['l', 'l', 'l', 'a', 'h', 'i']
عَلَى                 ['ʕ', 'a', 'l', 'a:']
ٱلۡكَـٰفِرِينَ            ['l', 'k', 'a:', 'f', 'i', 'r', 'i:', 'n']

90
بِئۡسَمَا               ['b', 'i', 'ʔ', 's', 'a', 'm', 'a:']
ٱشۡتَرَوۡاۡ              ['ʃ', 't', 'a', 'r', 'a', 'w']
بِهِۦٓ                 ['b', 'i', 'h', 'i:']
أَنفُسَهُمۡ              ['ʔ', 'a', 'Ikh1', 'f', 'u', 's', 'a', 'h', 'u', 'm']
أَن                  ['ʔ', 'a']
يَكۡفُرُواۡ              ['j̰', 'a', 'k', 'f', 'u', 'r', 'u:']
بِمَآ                 ['b', 'i', 'm', 'a:']
أَنزَلَ                ['ʔ', 'a', 'Ikh1', 'z', 'a', 'l', 'a']
ٱللَّهُ                ['l', 'l', 'l', 'a', 'h', 'u']
بَغۡيًا                ['b', 'a', 'ɣ', 'j', 'an']
أَن                  ['ʔ', 'a']
يُنَزِّلَ                ['j̰', 'u', 'n', 'a', 'z', 'z', 'i', 'l', 'a']
ٱللَّهُ                ['l', 'l', 'l', 'a', 'h', 'u']
مِن                  ['m', 'i', 'Ikh1']
فَضۡلِهِۦ               ['f', 'a', 'dˤ', 'l', 'i', 'h', 'i:']
عَلَىٰ                 ['ʕ', 'a', 'l', 'a:']
مَن                  ['m', 'a']
يَشَآءُ                ['j̰', 'a', 'ʃ', 'a:', 'ʔ', 'u']
مِنۡ                  ['m', 'i', 'n']
عِبَادِهِۦ‌ۖ             ['ʕ', 'i', 'b', 'a:', 'd', 'i', 'h', 'i:']
فَبَآءُو               ['f', 'a', 'b', 'a:', 'ʔ', 'u:']
بِغَضَبٍ                ['b', 'i', 'ɣ', 'a', 'dˤ', 'a', 'b', 'in']
عَلَىٰ                 ['ʕ', 'a', 'l', 'a:']
غَضَبٍ‌ۚ                ['ɣ', 'a', 'dˤ', 'a', 'b', 'i']
وَلِلۡكَـٰفِرِينَ           ['w̰', 'a', 'l', 'i', 'l', 'k', 'a:', 'f', 'i', 'r', 'i:', 'n', 'a']
عَذَابٌ                ['ʕ', 'a', 'ð', 'a:', 'b', 'u']
مُّهِينٌ                ['m̰', 'u', 'h', 'i:', 'n']

91
وَإِذَا                ['w', 'a', 'ʔ', 'i', 'ð', 'a:']
قِيلَ                 ['q', 'i:', 'l', 'a']
لَهُمۡ                 ['l', 'a', 'h', 'u', 'm']
ءَامِنُواۡ              ['ʔ', 'a:', 'm', 'i', 'n', 'u:']
بِمَآ                 ['b', 'i', 'm', 'a:']
أَنزَلَ                ['ʔ', 'a', 'Ikh1', 'z', 'a', 'l', 'a']
ٱللَّهُ                ['l', 'l', 'l', 'a', 'h', 'u']
قَالُواۡ               ['q', 'a:', 'l', 'u:']
نُؤۡمِنُ                ['n', 'u', 'ʔ', 'm', 'i', 'n', 'u']
بِمَآ                 ['b', 'i', 'm', 'a:']
أُنزِلَ                ['ʔ', 'u', 'Ikh1', 'z', 'i', 'l', 'a']
عَلَيۡنَا               ['ʕ', 'a', 'l', 'a', 'j', 'n', 'a:']
وَيَكۡفُرُونَ             ['w', 'a', 'j', 'a', 'k', 'f', 'u', 'r', 'u:', 'n', 'a']
بِمَا                 ['b', 'i', 'm', 'a:']
وَرَآءَهُۥ              ['w', 'a', 'r', 'a:', 'ʔ', 'a', 'h', 'u:']
وَهُوَ                 ['w', 'a', 'h', 'u', 'w', 'a']
ٱلۡحَقُّ                ['l', 'ħ', 'a', 'q', 'q', 'u']
مُصَدِّقًا               ['m', 'u', 'sˤ', 'a', 'd', 'd', 'i', 'q', 'a']
لِّمَا                 ['l', 'l', 'i', 'm', 'a:']
مَعَهُمۡ‌ۗ               ['m', 'a', 'ʕ', 'a', 'h', 'u', 'm']
قُلۡ                  ['q', 'u', 'l']
فَلِمَ                 ['f', 'a', 'l', 'i', 'm', 'a']
تَقۡتُلُونَ              ['t', 'a', 'q', 'Q', 't', 'u', 'l', 'u:', 'n', 'a']
أَنۢبِيَآءَ              ['ʔ', 'a', 'm̰', 'b', 'i', 'j', 'a:', 'ʔ', 'a']
ٱللَّهِ                ['l', 'l', 'l', 'a', 'h', 'i']
مِن                  ['m', 'i', 'Ikh2']
قَبۡلُ                 ['q', 'a', 'b', 'Q', 'l', 'u']
إِن                  ['ʔ', 'i', 'Ikh1']
كُنتُم                ['k', 'u', 'Ikh1', 't', 'u', 'm̰']
مُّؤۡمِنِينَ              ['u', 'ʔ', 'm', 'i', 'n', 'i:', 'n']

92
۞وَلَقَدۡ               ['w', 'a', 'l', 'a', 'q', 'a', 'd', 'QQ']
جَآءَكُم               ['ʒ', 'a:', 'ʔ', 'a', 'k', 'u', 'm̰']
مُّوسَىٰ                ['u:', 's', 'a:']
بِٱلۡبَيِّنَـٰتِ            ['b', 'i', 'l', 'b', 'a', 'j', 'j', 'i', 'n', 'a:', 't', 'i']
ثُمَّ                  ['θ', 'u', 'm̰', 'a']
ٱتَّخَذۡتُمُ              ['t', 't', 'a', 'x', 'a', 'ð', 't', 'u', 'm', 'u']
ٱلۡعِجۡلَ               ['l', 'ʕ', 'i', 'ʒ', 'Q', 'l', 'a']
مِنۢ                  ['m', 'i', 'm̰']
بَعۡدِهِۦ               ['b', 'a', 'ʕ', 'd', 'i', 'h', 'i:']
وَأَنتُمۡ               ['w', 'a', 'ʔ', 'a', 'Ikh1', 't', 'u', 'm']
ظَـٰلِمُونَ              ['ðˤ', 'a:', 'l', 'i', 'm', 'u:', 'n']

93
وَإِذۡ                 ['w', 'a', 'ʔ', 'i', 'ð']
أَخَذۡنَا               ['ʔ', 'a', 'x', 'a', 'ð', 'n', 'a:']
مِيثَـٰقَكُمۡ             ['m', 'i:', 'θ', 'a:', 'q', 'a', 'k', 'u', 'm']
وَرَفَعۡنَا              ['w', 'a', 'r', 'a', 'f', 'a', 'ʕ', 'n', 'a:']
فَوۡقَكُمُ               ['f', 'a', 'w', 'q', 'a', 'k', 'u', 'm', 'u']
ٱلطُّورَ               ['tˤ', 'tˤ', 'u:', 'r', 'a']
خُذُواۡ                ['x', 'u', 'ð', 'u:']
مَآ                  ['m', 'a:']
ءَاتَيۡنَـٰكُم            ['ʔ', 'a:', 't', 'a', 'j', 'n', 'a:', 'k', 'u', 'Ikh']
بِقُوَّةٍ                ['b', 'i', 'q', 'u', 'w', 'w', 'a', 't', 'i']
وَٱسۡمَعُواۡ‌ۖ            ['w̰', 'a', 's', 'm', 'a', 'ʕ', 'u:']
قَالُواۡ               ['q', 'a:', 'l', 'u:']
سَمِعۡنَا               ['s', 'a', 'm', 'i', 'ʕ', 'n', 'a:']
وَعَصَيۡنَا              ['w', 'a', 'ʕ', 'a', 'sˤ', 'a', 'j', 'n', 'a:']
وَأُشۡرِبُواۡ             ['w', 'a', 'ʔ', 'u', 'ʃ', 'r', 'i', 'b', 'u:']
فِى                  ['f', 'i:']
قُلُوبِهِمُ              ['q', 'u', 'l', 'u:', 'b', 'i', 'h', 'i', 'm', 'u']
ٱلۡعِجۡلَ               ['l', 'ʕ', 'i', 'ʒ', 'Q', 'l', 'a']
بِكُفۡرِهِمۡ‌ۚ             ['b', 'i', 'k', 'u', 'f', 'r', 'i', 'h', 'i', 'm']
قُلۡ                  ['q', 'u', 'l']
بِئۡسَمَا               ['b', 'i', 'ʔ', 's', 'a', 'm', 'a:']
يَأۡمُرُكُم              ['j', 'a', 'ʔ', 'm', 'u', 'r', 'u', 'k', 'u', 'Ikh']
بِهِۦٓ                 ['b', 'i', 'h', 'i:']
إِيمَـٰنُكُمۡ             ['ʔ', 'i:', 'm', 'a:', 'n', 'u', 'k', 'u', 'm']
إِن                  ['ʔ', 'i', 'Ikh1']
كُنتُم                ['k', 'u', 'Ikh1', 't', 'u', 'm̰']
مُّؤۡمِنِينَ              ['u', 'ʔ', 'm', 'i', 'n', 'i:', 'n']

94
قُلۡ                  ['q', 'u', 'l']
إِن                  ['ʔ', 'i', 'Ikh1']
كَانَتۡ                ['k', 'a:', 'n', 'a', 't']
لَكُمُ                 ['l', 'a', 'k', 'u', 'm', 'u']
ٱلدَّارُ               ['d', 'd', 'a:', 'r', 'u']
ٱلۡأَخِرَةُ              ['l', 'ʔ', 'a', 'x', 'i', 'r', 'a', 't', 'u']
عِندَ                 ['ʕ', 'i', 'Ikh1', 'd', 'a']
ٱللَّهِ                ['l', 'l', 'l', 'a', 'h', 'i']
خَالِصَةً               ['x', 'a:', 'l', 'i', 'sˤ', 'a', 't', 'a']
مِّن                  ['m̰', 'i', 'Ikh1']
دُونِ                 ['d', 'u:', 'n', 'i']
ٱلنَّاسِ               ['n̰', 'a:', 's', 'i']
فَتَمَنَّوُاۡ              ['f', 'a', 't', 'a', 'm', 'a', 'n̰', 'a', 'w', 'u']
ٱلۡمَوۡتَ               ['l', 'm', 'a', 'w', 't', 'a']
إِن                  ['ʔ', 'i', 'Ikh1']
كُنتُمۡ                ['k', 'u', 'Ikh1', 't', 'u', 'm']
صَـٰدِقِينَ              ['sˤ', 'a:', 'd', 'i', 'q', 'i:', 'n']

95
وَلَن                 ['w', 'a', 'l', 'a']
يَتَمَنَّوۡهُ              ['j̰', 'a', 't', 'a', 'm', 'a', 'n̰', 'a', 'w', 'h', 'u']
أَبَدَۢا                ['ʔ', 'a', 'b', 'a', 'd', 'a:', 'm̰']
بِمَا                 ['b', 'i', 'm', 'a:']
قَدَّمَتۡ                ['q', 'a', 'd', 'd', 'a', 'm', 'a', 't']
أَيۡدِيهِمۡ‌ۗ             ['ʔ', 'a', 'j', 'd', 'i:', 'h', 'i', 'm']
وَٱللَّهُ               ['w', 'a', 'l', 'l', 'l', 'a', 'h', 'u']
عَلِيمُۢ                ['ʕ', 'a', 'l', 'i:', 'm', 'u', 'm̰']
بِٱلظَّـٰلِمِينَ           ['b', 'i', 'ðˤ', 'ðˤ', 'a:', 'l', 'i', 'm', 'i:', 'n']

96
وَلَتَجِدَنَّهُمۡ            ['w', 'a', 'l', 'a', 't', 'a', 'ʒ', 'i', 'd', 'a', 'n̰', 'a', 'h', 'u', 'm']
أَحۡرَصَ                ['ʔ', 'a', 'ħ', 'r', 'a', 'sˤ', 'a']
ٱلنَّاسِ               ['n̰', 'a:', 's', 'i']
عَلَىٰ                 ['ʕ', 'a', 'l', 'a:']
حَيَوٰةٍ                ['ħ', 'a', 'j', 'a', 't', 'i']
وَمِنَ                 ['w̰', 'a', 'm', 'i', 'n', 'a']
ٱلَّذِينَ               ['l', 'l', 'a', 'ð', 'i:', 'n', 'a']
أَشۡرَكُواۡ‌ۚ             ['ʔ', 'a', 'ʃ', 'r', 'a', 'k', 'u:']
يَوَدُّ                 ['j', 'a', 'w', 'a', 'd', 'd', 'u']
أَحَدُهُمۡ               ['ʔ', 'a', 'ħ', 'a', 'd', 'u', 'h', 'u', 'm']
لَوۡ                  ['l', 'a', 'w']
يُعَمَّرُ                ['j', 'u', 'ʕ', 'a', 'm̰', 'a', 'r', 'u']
أَلۡفَ                 ['ʔ', 'a', 'l', 'f', 'a']
سَنَةٍ                 ['s', 'a', 'n', 'a', 't', 'i']
وَمَا                 ['w̰', 'a', 'm', 'a:']
هُوَ                  ['h', 'u', 'w', 'a']
بِمُزَحۡزِحِهِۦ            ['b', 'i', 'm', 'u', 'z', 'a', 'ħ', 'z', 'i', 'ħ', 'i', 'h', 'i:']
مِنَ                  ['m', 'i', 'n', 'a']
ٱلۡعَذَابِ              ['l', 'ʕ', 'a', 'ð', 'a:', 'b', 'i']
أَن                  ['ʔ', 'a']
يُعَمَّرَ‌ۗ               ['j̰', 'u', 'ʕ', 'a', 'm̰', 'a', 'r', 'a']
وَٱللَّهُ               ['w', 'a', 'l', 'l', 'l', 'a', 'h', 'u']
بَصِيرُۢ                ['b', 'a', 'sˤ', 'i:', 'r', 'u', 'm̰']
بِمَا                 ['b', 'i', 'm', 'a:']
يَعۡمَلُونَ              ['j', 'a', 'ʕ', 'm', 'a', 'l', 'u:', 'n']

97
قُلۡ                  ['q', 'u', 'l']
مَن                  ['m', 'a', 'Ikh1']
كَانَ                 ['k', 'a:', 'n', 'a']
عَدُوًّا                ['ʕ', 'a', 'd', 'u', 'w', 'w', 'a']
لِّجِبۡرِيلَ              ['l', 'l', 'i', 'ʒ', 'i', 'b', 'Q', 'r', 'i:', 'l', 'a']
فَإِنَّهُۥ               ['f', 'a', 'ʔ', 'i', 'n̰', 'a', 'h', 'u:']
نَزَّلَهُۥ               ['n', 'a', 'z', 'z', 'a', 'l', 'a', 'h', 'u:']
عَلَىٰ                 ['ʕ', 'a', 'l', 'a:']
قَلۡبِكَ                ['q', 'a', 'l', 'b', 'i', 'k', 'a']
بِإِذۡنِ                ['b', 'i', 'ʔ', 'i', 'ð', 'n', 'i']
ٱللَّهِ                ['l', 'l', 'l', 'a', 'h', 'i']
مُصَدِّقًا               ['m', 'u', 'sˤ', 'a', 'd', 'd', 'i', 'q', 'a']
لِّمَا                 ['l', 'l', 'i', 'm', 'a:']
بَيۡنَ                 ['b', 'a', 'j', 'n', 'a']
يَدَيۡهِ                ['j', 'a', 'd', 'a', 'j', 'h', 'i']
وَهُدًى                ['w', 'a', 'h', 'u', 'd', 'a']
وَبُشۡرَىٰ               ['w̰', 'a', 'b', 'u', 'ʃ', 'r', 'a:']
لِلۡمُؤۡمِنِينَ            ['l', 'i', 'l', 'm', 'u', 'ʔ', 'm', 'i', 'n', 'i:', 'n']

98
مَن                  ['m', 'a', 'Ikh1']
كَانَ                 ['k', 'a:', 'n', 'a']
عَدُوًّا                ['ʕ', 'a', 'd', 'u', 'w', 'w', 'a']
لِّلَّهِ                 ['l', 'i', 'i', 'l', 'l', 'a', 'h', 'i']
وَمَلَـٰٓئِكَتِهِۦ           ['w', 'a', 'm', 'a', 'l', 'a:', 'ʔ', 'i', 'k', 'a', 't', 'i', 'h', 'i:']
وَرُسُلِهِۦ              ['w', 'a', 'r', 'u', 's', 'u', 'l', 'i', 'h', 'i:']
وَجِبۡرِيلَ              ['w', 'a', 'ʒ', 'i', 'b', 'Q', 'r', 'i:', 'l', 'a']
وَمِيكَـٰلَ              ['w', 'a', 'm', 'i:', 'k', 'a:', 'l', 'a']
فَإِنَّ                 ['f', 'a', 'ʔ', 'i', 'n̰', 'a']
ٱللَّهَ                ['l', 'l', 'l', 'a', 'h', 'a']
عَدُوٌّ                 ['ʕ', 'a', 'd', 'u', 'w', 'w', 'u']
لِّلۡكَـٰفِرِينَ            ['l', 'l', 'i', 'l', 'k', 'a:', 'f', 'i', 'r', 'i:', 'n']

99
وَلَقَدۡ                ['w', 'a', 'l', 'a', 'q', 'a', 'd', 'QQ']
أَنزَلۡنَآ              ['ʔ', 'a', 'Ikh1', 'z', 'a', 'l', 'n', 'a:']
إِلَيۡكَ                ['ʔ', 'i', 'l', 'a', 'j', 'k', 'a']
ءَايَـٰتِۭ               ['ʔ', 'a:', 'j', 'a:', 't', 'i', 'm̰']
بَيِّنَـٰتٍ‌ۖ              ['b', 'a', 'j', 'j', 'i', 'n', 'a:', 't', 'i']
وَمَا                 ['w̰', 'a', 'm', 'a:']
يَكۡفُرُ                ['j', 'a', 'k', 'f', 'u', 'r', 'u']
بِهَآ                 ['b', 'i', 'h', 'a:']
إِلَّا                 ['ʔ', 'i', 'l', 'l', 'a:']
ٱلۡفَـٰسِقُونَ            ['l', 'f', 'a:', 's', 'i', 'q', 'u:', 'n']

100
أَوَكُلَّمَا              ['ʔ', 'a', 'w', 'a', 'k', 'u', 'l', 'l', 'a', 'm', 'a:']
عَـٰهَدُواۡ              ['ʕ', 'a:', 'h', 'a', 'd', 'u:']
عَهۡدًا                ['ʕ', 'a', 'h', 'd', 'a']
نَّبَذَهُۥ               ['n̰', 'a', 'b', 'a', 'ð', 'a', 'h', 'u:']
فَرِيقٌ                ['f', 'a', 'r', 'i:', 'q', 'u']
مِّنۡهُم‌ۚ               ['m̰', 'i', 'n', 'h', 'u', 'Ikh']
بَلۡ                  ['b', 'a', 'l']
أَكۡثَرُهُمۡ              ['ʔ', 'a', 'k', 'θ', 'a', 'r', 'u', 'h', 'u', 'm']
لَا                  ['l', 'a:']
يُؤۡمِنُونَ              ['j', 'u', 'ʔ', 'm', 'i', 'n', 'u:', 'n']

101
وَلَمَّا                ['w', 'a', 'l', 'a', 'm̰', 'a:']
جَآءَهُمۡ               ['ʒ', 'a:', 'ʔ', 'a', 'h', 'u', 'm']
رَسُولٌ                ['r', 'a', 's', 'u:', 'l', 'u']
مِّنۡ                  ['m̰', 'i', 'n']
عِندِ                 ['ʕ', 'i', 'Ikh1', 'd', 'i']
